repo,month,approx_downloads
kubernetes-sigs/headlamp,2020-11,1446
kubernetes-sigs/headlamp,2021-01,254
kubernetes-sigs/headlamp,2021-02,418
kubernetes-sigs/headlamp,2021-03,205
kubernetes-sigs/headlamp,2021-04,376
kubernetes-sigs/headlamp,2021-06,540
kubernetes-sigs/headlamp,2021-07,4088
kubernetes-sigs/headlamp,2021-08,1233
kubernetes-sigs/headlamp,2021-10,227
kubernetes-sigs/headlamp,2021-11,287
kubernetes-sigs/headlamp,2021-12,298
kubernetes-sigs/headlamp,2022-02,349
kubernetes-sigs/headlamp,2022-04,169
kubernetes-sigs/headlamp,2022-05,358
kubernetes-sigs/headlamp,2022-06,493
kubernetes-sigs/headlamp,2022-07,779
kubernetes-sigs/headlamp,2022-08,3268
kubernetes-sigs/headlamp,2022-09,408
kubernetes-sigs/headlamp,2022-10,561
kubernetes-sigs/headlamp,2022-11,506
kubernetes-sigs/headlamp,2022-12,6913
kubernetes-sigs/headlamp,2023-02,15544
kubernetes-sigs/headlamp,2023-03,1125
kubernetes-sigs/headlamp,2023-04,751
kubernetes-sigs/headlamp,2023-05,1912
kubernetes-sigs/headlamp,2023-06,1427
kubernetes-sigs/headlamp,2023-07,17935
kubernetes-sigs/headlamp,2023-08,5441
kubernetes-sigs/headlamp,2023-09,629
kubernetes-sigs/headlamp,2023-10,4675
kubernetes-sigs/headlamp,2023-11,12870
kubernetes-sigs/headlamp,2023-12,20085
kubernetes-sigs/headlamp,2024-01,899
kubernetes-sigs/headlamp,2024-02,7204
kubernetes-sigs/headlamp,2024-03,17017
kubernetes-sigs/headlamp,2024-05,16289
kubernetes-sigs/headlamp,2024-06,11284
kubernetes-sigs/headlamp,2024-07,15354
kubernetes-sigs/headlamp,2024-09,36409
kubernetes-sigs/headlamp,2024-11,47309
kubernetes-sigs/headlamp,2024-12,39477
kubernetes-sigs/headlamp,2025-01,23554
kubernetes-sigs/headlamp,2025-02,107549
kubernetes-sigs/headlamp,2025-03,272962
kubernetes-sigs/headlamp,2025-05,33502
kubernetes-sigs/headlamp,2025-06,91910
kubernetes-sigs/headlamp,2025-07,89913
kubernetes-sigs/headlamp,2025-08,79223
kubernetes-sigs/headlamp,2025-09,105140
kubernetes-sigs/headlamp,2025-10,143060
kubernetes-sigs/headlamp,2025-11,613208
kubernetes-sigs/headlamp,2025-12,174305
kubernetes-sigs/headlamp,2026-02,183712
kubernetes-sigs/headlamp,2026-03,44496
